GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,season_id,season_type
Players,361,Clifford Robinson,Clifford,1610612757,POR,30.0,44,22,22,0.5,4.1,0.3,0.1,0.1,0.3,1.3,1.0,0.4,3.0,0.1,0.2,0.6,0.0,3.3,11,28,357,166,40,78,183,108,161,343,256,253,38,116,348,328,17,81,1996-97,Regular%20Season
Players,32,Clifford Rozier,Clifford,1610612761,TOR,24.0,6,3,3,0.5,2.7,0.0,0.3,0.0,1.0,0.3,1.3,0.3,0.7,0.3,0.2,1.3,0.0,3.6,293,282,77,166,223,223,52,154,22,91,333,211,339,9,353,391,19,56,1996-97,Regular%20Season
Players,17,Clyde Drexler,Clyde,1610612745,HOU,35.0,31,24,7,0.774,4.0,0.4,0.1,0.3,0.5,0.9,1.1,0.3,1.4,0.1,0.1,0.4,0.0,4.1,105,20,168,24,59,40,196,9,91,239,272,196,256,69,258,189,19,43,1996-97,Regular%20Season
Players,916,Corie Blount,Corie,1610612747,LAL,28.0,13,10,3,0.769,2.4,0.0,0.0,0.0,0.3,0.3,0.2,0.3,0.9,0.0,0.0,0.3,0.0,1.2,226,163,77,26,254,223,235,154,162,89,60,202,324,194,1,151,19,277,1996-97,Regular%20Season
Players,722,Corliss Williamson,Corliss,1610612758,SAC,23.0,26,12,14,0.462,3.4,0.0,0.4,0.1,1.1,0.8,1.1,0.2,1.9,0.1,0.1,0.5,0.0,3.2,143,131,267,209,130,223,42,82,21,189,275,150,184,102,274,260,19,82,1996-97,Regular%20Season
Players,724,Cory Alexander,Cory,1610612759,SAS,24.0,13,5,8,0.385,2.8,0.1,0.2,0.2,0.0,0.9,1.1,0.6,2.6,0.1,0.1,0.5,0.0,2.7,226,230,185,265,210,200,97,25,260,233,275,330,73,102,274,248,19,117,1996-97,Regular%20Season
Players,378,Craig Ehlo,Craig,1610612760,SEA,35.0,7,3,4,0.429,1.2,0.0,0.0,0.0,0.0,0.6,0.7,0.6,1.1,0.1,0.0,0.3,0.0,1.1,283,282,100,232,335,223,235,154,260,136,150,313,288,61,1,137,19,290,1996-97,Regular%20Season
Players,905,Dale Davis,Dale,1610612754,IND,28.0,41,19,22,0.463,4.3,0.0,0.3,0.0,0.6,1.0,1.0,0.5,3.0,0.2,0.0,0.7,0.0,2.9,22,61,357,208,31,216,51,154,72,275,263,298,37,51,1,375,19,98,1996-97,Regular%20Season
Players,107,Dale Ellis,Dale,1610612743,DEN,36.0,44,11,33,0.25,4.2,0.3,0.3,0.1,0.1,1.2,1.6,0.3,3.0,0.0,0.2,0.4,0.0,3.0,11,147,393,319,33,61,86,69,242,314,367,164,38,155,348,212,17,96,1996-97,Regular%20Season
Players,757,Damon Stoudamire,Damon,1610612761,TOR,23.0,47,19,28,0.404,4.4,0.4,0.3,0.3,0.8,1.5,1.2,1.0,3.2,0.0,0.3,0.3,0.0,4.9,4,61,385,250,24,25,67,7,44,364,311,387,23,161,387,157,19,18,1996-97,Regular%20Season
Players,105,Dan Majerle,Dan,1610612748,MIA,31.0,19,13,6,0.684,3.3,0.1,0.3,0.0,0.1,1.3,0.8,0.1,2.6,0.1,0.2,0.2,0.0,1.7,193,121,140,55,145,177,61,154,252,342,177,122,71,135,347,72,19,231,1996-97,Regular%20Season
Players,7,Dan Schayes,Dan,1610612753,ORL,38.0,8,7,1,0.875,0.7,0.0,0.1,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.5,269,200,15,15,354,223,169,154,260,77,1,1,360,194,1,112,19,335,1996-97,Regular%20Season
